timestamp,elapsed_ms,length_ms,file_path,album,genres,artist,song
1749341104,240300,240306,/<HDD0>/Music/Lana Del Rey/Born To Die (Explicit)/Lana Del Rey - 12. This Is What Makes Us Girls.flac,Born To Die (Explicit),"",Lana Del Rey,This Is What Makes Us Girls
1749341249,60160,320680,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 01. Ultralight Beam (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Ultralight Beam (Explicit)
1749341821,320653,320680,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 01. Ultralight Beam (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Ultralight Beam (Explicit)
1749341994,135888,135920,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 02. Father Stretch My Hands Pt. 1 (Explici.flac,The Life Of Pablo (Explicit),"",Kanye West,Father Stretch My Hands Pt. 1 (Explici
1749342124,130272,130293,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 03. Pt. 2 (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Pt. 2 (Explicit)
1749342320,196022,196040,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 04. Famous (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Famous (Explicit)
1749342467,147226,147240,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 05. Feedback (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Feedback (Explicit)
1749342599,131761,131773,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 06. Low Lights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Low Lights (Explicit)
1749342799,199836,199866,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 07. Highlights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Highlights (Explicit)
1749342923,123350,123386,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 08. Freestyle 4 (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Freestyle 4 (Explicit)
1749342967,44826,44826,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 09. I Love Kanye (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,I Love Kanye (Explicit)
1749343149,181551,181573,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 10. Waves (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Waves (Explicit)
1749343385,236068,236120,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 11. FML (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,FML (Explicit)
1749343637,251533,251573,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 12. Real Friends (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Real Friends (Explicit)
1749343938,301583,301586,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 13. Wolves (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Wolves (Explicit)
1749343976,38321,38333,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 14. Frank's Track (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Frank's Track (Explicit)
1749344033,56528,56560,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 15. Siiiiiiiiilver Surffffeeeeer Intermiss.flac,The Life Of Pablo (Explicit),"",Kanye West,Siiiiiiiiilver Surffffeeeeer Intermiss
1749344356,323291,323302,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 16. 30 Hours (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,30 Hours (Explicit)
1749344731,374413,374413,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 17. No More Parties In LA (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,No More Parties In LA (Explicit)
1749344931,200724,200733,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 18. Facts (Charlie Heat Version) (Explicit.flac,The Life Of Pablo (Explicit),"",Kanye West,Facts (Charlie Heat Version) (Explicit
1749345125,193724,193747,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 19. Fade (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Fade (Explicit)
1749345497,372088,372113,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 20. Saint Pablo (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Saint Pablo (Explicit)
1749346155,298422,298453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 01. Only If For A Night.flac,Ceremonials,"",Florence + The Machine,Only If For A Night
1749346433,277577,277600,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 02. Shake It Out.flac,Ceremonials,"",Florence + The Machine,Shake It Out
1749346766,333374,333400,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 03. What The Water Gave Me.flac,Ceremonials,"",Florence + The Machine,What The Water Gave Me
1749347037,270942,270973,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 04. Never Let Me Go.flac,Ceremonials,"",Florence + The Machine,Never Let Me Go
1749347266,229146,229186,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 05. Breaking Down.flac,Ceremonials,"",Florence + The Machine,Breaking Down
1749347509,242782,242813,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 06. Lover To Lover.flac,Ceremonials,"",Florence + The Machine,Lover To Lover
1749347784,274834,274853,"/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 07. No Light, No Light.flac",Ceremonials,"",Florence + The Machine,"No Light, No Light"
1749348087,303229,303253,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 08. Seven Devils.flac,Ceremonials,"",Florence + The Machine,Seven Devils
1749348389,301453,301453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 09. Heartlines.flac,Ceremonials,"",Florence + The Machine,Heartlines
1749348882,311484,311533,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 10. Spectrum (Say My Name).flac,Ceremonials,"",Florence + The Machine,Spectrum (Say My Name)
1749349128,245864,245880,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 11. All This And Heaven Too.flac,Ceremonials,"",Florence + The Machine,All This And Heaven Too
1749349402,274573,274586,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 12. Leave My Body.flac,Ceremonials,"",Florence + The Machine,Leave My Body
1749349631,98638,98661,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 01. No Manners (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,No Manners (Explicit)
1749349798,166974,166997,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 02. Gonna Love Me (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Gonna Love Me (Explicit)
1749349984,185965,185979,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 03. Issues_Hold On (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Issues_Hold On (Explicit)
1749350024,40097,174200,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 04. Hurry (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Hurry (Explicit)
1749350228,203598,203636,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 05. 3Way (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,3Way (Explicit)
1749350451,222824,222828,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 06. Rose In Harlem (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Rose In Harlem (Explicit)
1749350611,159895,159924,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 07. Never Would Have Made It (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,Never Would Have Made It (Explicit)
1749350778,166817,166849,/<HDD0>/Music/Teyana Taylor/K.T.S.E. (Explicit)/Teyana Taylor - 08. WTP (Explicit).flac,K.T.S.E. (Explicit),"",Teyana Taylor,WTP (Explicit)
1749373024,166347,166424,/<HDD0>/Music/Jorja Smith/Be Right Back (Explicit)/Jorja Smith - 05. Home.flac,Be Right Back (Explicit),"",Jorja Smith,Home
1749373239,214569,214586,/<HDD0>/Music/Lana Del Rey/Born To Die (Explicit)/Lana Del Rey - 08. Radio (Explicit).flac,Born To Die (Explicit),"",Lana Del Rey,Radio (Explicit)
1749373589,49597,184133,/<HDD0>/Music/BigXthaPlug/TAKE CARE (Explicit)/BigXthaPlug - 10. 2AM (Explicit).flac,TAKE CARE (Explicit),"",BigXthaPlug,2AM (Explicit)
1749384194,320679,320680,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 01. Ultralight Beam (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Ultralight Beam (Explicit)
1749384403,135888,135920,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 02. Father Stretch My Hands Pt. 1 (Explici.flac,The Life Of Pablo (Explicit),"",Kanye West,Father Stretch My Hands Pt. 1 (Explici
1749384533,130272,130293,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 03. Pt. 2 (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Pt. 2 (Explicit)
1749384729,196022,196040,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 04. Famous (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Famous (Explicit)
1749384876,147226,147240,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 05. Feedback (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Feedback (Explicit)
1749385008,131761,131773,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 06. Low Lights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Low Lights (Explicit)
1749385367,58932,199866,/<HDD0>/Music/Kanye West/The Life Of Pablo (Explicit)/Kanye West - 07. Highlights (Explicit).flac,The Life Of Pablo (Explicit),"",Kanye West,Highlights (Explicit)
1749402381,298422,298453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 01. Only If For A Night.flac,Ceremonials,"",Florence + The Machine,Only If For A Night
1749402627,245864,245880,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 11. All This And Heaven Too.flac,Ceremonials,"",Florence + The Machine,All This And Heaven Too
1749402954,26984,301453,/<HDD0>/Music/Florence + The Machine/Ceremonials/Florence + The Machine - 09. Heartlines.flac,Ceremonials,"",Florence + The Machine,Heartlines
